DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,dayid,compnumber
2006-08-21,0,0,0,0,30,20.6,0,0,0,0,1,1505
2006-08-22,0,0,0,0,30,20.6,310,260,3.1,4,2,1477
2006-08-23,0,0,0,0,31.1,20,0,0,0,0,3,1526
2006-08-24,0,20.8,0,0,28.3,18.9,0,0,0,0,4,1543
2006-08-25,0,2.8,0,0,23.3,18.9,0,0,0,0,5,1520
2006-08-26,0,19.8,0,0,20.6,17.2,0,0,0,0,6,1399
2006-08-27,0,17,0,0,23.3,16.7,0,0,0,0,7,1195
2006-08-28,0,8.9,0,0,25,21.1,0,0,0,0,8,1370
2006-08-29,0,11.2,0,0,21.7,17.8,0,0,0,0,9,1269
2006-08-30,0,3.8,0,0,22.8,16.7,0,0,0,0,10,1536
2006-08-31,0,0,0,0,22.2,16.1,0,0,0,0,11,1445
2006-09-01,0,2.8,0,0,19.4,15.6,0,0,0,0,12,1833
2006-09-02,0,31.5,0,0,18.9,15,0,0,0,0,13,1240
2006-09-03,0,0,0,0,23.9,17.2,0,0,0,0,14,1310
2006-09-04,0,0,0,0,23.9,15.6,0,0,0,0,15,1407
2006-09-05,0,11.7,0,0,20.6,16.1,0,0,0,0,16,1426
2006-09-06,0,0,0,0,23.9,15.6,0,0,0,0,17,1507
2006-09-07,0,0,0,0,26.7,16.1,0,0,0,0,18,1530
2006-09-08,0,0,0,0,27.2,18.9,0,0,0,0,19,1663
2006-09-09,0,0,0,0,27.8,19.4,0,0,0,0,20,1483
2006-09-10,0,0,0,0,22.8,16.7,0,0,0,0,21,1372
2006-09-11,0,0,0,0,21.1,13.3,0,0,0,0,22,1454
2006-09-12,0,0,0,0,21.1,11.1,0,0,0,0,23,1379
2006-09-13,0,0,0,0,19.4,13.3,0,0,0,0,24,1573
2006-09-14,0,17.3,0,0,19.4,17.8,0,0,0,0,25,1535
2006-09-15,0,25.1,0,0,19.4,17.8,0,0,0,0,26,1564
2006-09-16,0,0.3,0,0,25.6,17.8,0,0,0,0,27,1429
2006-09-17,0,0,0,0,26.7,17.2,0,0,0,0,28,1346
2006-09-18,0,0,0,0,28.3,18.3,0,0,0,0,29,1384
2006-09-19,0.4,0.3,0,0,26.7,19.4,340,60,3.6,10.7,30,1479
2006-09-20,3,0,0,0,21.7,14.4,270,270,7.6,11.6,31,1703
2006-09-21,1.6,0,0,0,20,11.1,350,340,5.4,8,32,1551
2006-09-22,1.4,0,0,0,20.6,11.7,220,240,5.4,9.8,33,1635
2006-09-23,2.2,2.5,0,0,23.9,17.2,250,240,5.4,10.3,34,1497
2006-09-24,2.8,0.3,0,0,26.1,19.4,250,240,7.2,13,35,1464
2006-09-25,2.9,0,0,0,22.2,16.7,270,290,6.3,10.7,36,1598
2006-09-26,1.6,0,0,0,22.8,13.9,250,260,5.4,7.6,37,1600
2006-09-27,1.7,0,0,0,22.8,13.3,180,170,3.6,8,38,1563
2006-09-28,2.2,0.3,0,0,23.9,16.7,170,130,5.8,10.7,39,1671
2006-09-29,2,1.8,0,0,18.9,11.7,280,270,6.7,10.3,40,1639
2006-09-30,1.6,0,0,0,18.9,9.4,160,170,5.4,9.8,41,1517
2006-10-01,1.8,8.9,0,0,20,13.3,280,260,5.4,10.3,42,1689
2006-10-02,1.7,0,0,0,20,11.7,300,90,5.4,12.5,43,1528
2006-10-03,1.7,0,0,0,26.1,13.3,250,230,5.4,8,44,1560
2006-10-04,1.6,15.7,0,0,25.6,17.8,240,210,5.8,9.8,45,1633
2006-10-05,2.7,1.3,0,0,18.9,11.1,50,20,7.2,10.7,46,1516
2006-10-06,4,0,0,0,13.9,11.1,70,50,8,13.4,47,1742
2006-10-07,3.4,0,0,0,17.2,10.6,60,70,7.6,11.2,48,1448
2006-10-08,0.4,0,0,0,21.7,10.6,250,170,2.7,4,49,1336
2006-10-09,0.8,0,0,0,25.6,12.8,250,250,3.6,5.8,50,1381
2006-10-10,1.3,0,0,0,24.4,13.9,130,120,5.4,7.6,51,1610
2006-10-11,3,40.9,0,0,17.2,15,60,40,7.2,10.3,52,1366
2006-10-12,2.4,7.9,0,0,20,10,280,260,8,15.6,53,1633
2006-10-13,2.4,0,0,0,12.8,5,250,240,6.3,11.6,54,1585
2006-10-14,2.5,0,0,0,15,6.1,280,260,7.2,13.4,55,1406
